"Alert Email Sender","メール送信者通知"
"Alert subscription has been saved.","この商品が再入荷した際はメールでお知らせ致します。"
"Allow Alert When Product Comes Back in Stock","商品再入荷時の通知を許可する"
"Allow Alert When Product Price Changes","商品価格変更時の通知を許可する"
"Click here not to receive alerts for this product","この商品の通知を解除する場合はここをクリックしてください"
"Not enough parameters.","パラメータが不足しています。"
"Price Alert Email Template","価格変更通知メールテンプレート"
"Product Alerts","商品通知"
"Product Alerts Run Settings","商品通知実行設定"
"Product alerts Cron error","商品通知Cronエラー"
"Product price alert","商品価格通知"
"Product stock alert","再入荷通知"
"Regular Price:","通常価格:"
"Sign up for price alert","価格通知を購読する"
"Sign up to get notified when this product is back in stock","商品の再入荷のお知らせを受け取る"
"Special price:","特別価格:"
"Stock Alert Email Template","再入荷通知メールテンプレート"
"The alert subscription has been deleted.","更新通知を解除しました。"
"The alert subscription has been saved.","更新通知を登録しました。"
"The product is not found.","商品が見つかりません。"
"The product was not found.","商品が見つかりません。"
"Unable to update the alert subscription.","購読状況を更新できません。"
"Unsubscribe from all price alerts","すべての価格通知を購読解除"
"Unsubscribe from all stock alerts","全ての再入荷通知を解除する"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ご登録の商品が再入荷致しましたのでお知らせ致します。"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","以下の商品の価格が変更された場合に通知されるように設定しているため、この通知を受け取りました。"
"You will no longer receive price alerts for this product.","ご指定の価格変更通知受信を停止しました。"
"You will no longer receive stock alerts for this product.","ご指定の商品の再入荷通知を停止しました。"
"You will no longer receive stock alerts.","全ての商品の再入荷通知を停止しました"
