"%s","%s"
"-- Please Select --","-- 選択してください --"
"Add Layout Update","レイアウトアップデート追加"
"Add New Widget Instance","新しいウィジェットインスタンスを追加する"
"All","全て"
"All Pages","全てのページ"
"All Product Types","全ての商品タイプ"
"Anchor Categories","カテゴリのアンカー"
"Assign to Store Views","店舗ビューをアサインする"
"Big Image","拡大画像"
"Block Reference","ブロック参照"
"CMS","ＣＭＳ"
"Choose...","選択してください..."
"Default Template","デフォルトテンプレート"
"Design Package/Theme","デザインパッケージ/テーマ"
"Frontend Properties","フロントエンドプロパティ"
"Generic Pages","一般ページ"
"Images","画像"
"Layout Updates","レイアウトアップデート"
"Manage Widget Instances","ウィジェットインスタンス管理"
"New Instance","新しいインスタンス"
"New Widget Instance","新しいウィジェットインスタンス"
"Next page","次のページ"
"Non-Anchor Categories","アンカーではないカテゴリ"
"Not Selected","選択されていません"
"Please Select Block Reference First","最初に参照するブロックを選択してください"
"Previous page","前のページ"
"Remove Layout Update","レイアウトアップデート削除"
"Settings","設定"
"Sort Order of widget instances in the same block reference","同じブロックを参照するウィジェットのソート順"
"Specific %s","特定の %s"
"Specified Page","特定のページ"
"Template","テンプレート"
"The information in this tab has been changed.","このタブの情報が変更されています。"
"The widget instance has been deleted.","ウィジェットを削除しました。"
"The widget instance has been saved.","ウィジェットを保存しました。"
"This tab contains invalid data. Please solve the problem before saving.","このタブは不正なデータを含んでいます。保存する前に問題を解決してください。"
"Thumbnail","サムネイル"
"Widget","ウィジェット"
"Widget ""%s""","ウィジェット ""%s"""
"Widget ID","ウィジェットID"
"Widget Instance","ウィジェットインスタンス"
"Widget Instance Title","ウィジェットインスタンスタイトル"
"Widget Options","ウィジェットオプション"
"Widget Type","ウィジェットタイプ"
"Widget Type is not specified","ウィジェットタイプが指定されていません"
"Widget instance is not full complete to create.","ウィジェットインスタンスの作成は完了していません。"
"Widgets","ウィジェット"
"Wrong wigdet instance specified.","不正なウィジェットインスタンスが指定されました。"
