"%s is not a correct comparsion method.","%s は不正な比較方法です。"
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>メモ</strong> これらの設定はカート全体ではなく、それぞれの商品に対して適用されます。"
"Add Minimum Qty","最小数量を追加"
"Allow Qty Below 0","在庫数0個以下を許可する"
"Allow Qty Below 0 and Notify Customer","0以下を許可し、お客さまに通知する"
"Automatically Return Credit Memo Item to Stock","返金時に在庫数を更新する"
"Backorders","バックオーダー"
"By Fixed value","固定額"
"By Percentage","固定率"
"Cannot specify product identifier for the order item.","注文された商品の識別子を特定できません。"
"Catalog Inventory","カタログ在庫品"
"Decrease Stock When Order is Placed","注文を受けると在庫を減らす。"
"In Stock","在庫あり"
"Index Product Stock Status","在庫ステータスインデックス"
"Inventory","在庫"
"Inventory API","棚卸API"
"Inventory Section","在庫品セクション"
"Manage Stock","在庫管理"
"Maximum Qty Allowed in Shopping Cart","カートに入れられる最大数量"
"Minimum Qty","最小数量"
"Minimum Qty Allowed in Shopping Cart","カートに入れられる最小数量"
"No Backorders","バックオーダーなし"
"Not all products are available in the requested quantity","すべての商品でご希望の個数がご用意できるとは限りません。"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Only %s left","残り %s"
"Only X left Threshold","「残り X」と表記する閾値"
"Out of Stock","在庫切れ"
"Product Stock Options","商品在庫オプション"
"Qty Increments","数量の増分"
"Qty for Items' Status to Become Out of Stock","在庫切れとみなす数量"
"Retrieve stock data","回収ストックデータ"
"Retrieve stock data by product ids","商品IDを使って在庫情報を復元する"
"Rule price","値引き"
"Set Items' Status to be In Stock When Order is Cancelled","注文がキャンセルされたときにはセット商品ステータスを在庫ありにします"
"Some of the products are currently out of stock","幾つかの商品は現在在庫切れです。"
"Some of the products cannot be ordered in requested quantity.","いくつかの商品はご要望いただいた個数を注文いただけません。"
"Some of the products cannot be ordered in the requested quantity.","いくつかの商品はご要望いただいた個数を注文いただけません。"
"Stock Options","ストックオプション"
"Stock Status","在庫ステータス"
"The maximum quantity allowed for purchase is %s.","購入可能な最大量は%sです。"
"The minimum quantity allowed for purchase is %s.","購入可能な最小量は%sです。"
"The requested quantity for ""%s"" is not available.","誠に申し訳ありませんが、""%s""のご希望の数量をご用意できません。"
"The requested quantity is not available.","ご希望の在庫数がありません。"
"The stock item for Product in option is not valid.","オプション商品の在庫数が不正です。"
"The stock item for Product is not valid.","商品の在庫数が不正です。"
"This product is currently out of stock.","この商品は現在在庫切れです。"
"This product is not available in the requested quantity. %s of the items will be backordered.","この商品の在庫数が不足しています。 %s個はバックオーダーになります。"
"To Fixed Value","固定額"
"To Percentage","固定率"
"Undefined product type.","未定義の商品タイプです。"
"Update product stock data","商品在庫データを更新する"
"Update the Product","商品を更新する"
"%s is available for purchase in increments of %s","%sは%s個単位で購入してください。"
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is available for purchase in increments of %s only.","この商品は%s個単位で購入してください。"
"Display Out of Stock Products","在庫切れの商品を表示する"
